Name;Country;Description;Thumbnail;Publisher_Names;Developer_Names;Platform;Release_Date;Genre;Steam_Link;Epic_Link;Playstation_Link;Xbox_Link;Switch_Link;GOG_Link
Drawkanoid;South Africa;Hyperspeed neon brick-breaking with bullet time and explosions. What more do you need? How about ludicrous powerups and multiple game modes? You're welcome.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/951370/header.jpg?t=1580823503;QCF Design;QCF Design;Windows, macOS;To be announced;Action, Casual, Indie;https://store.steampowered.com/app/951370/Drawkanoid/;Unknown;Unknown;Unknown;Unknown;Unknown
Riftwalker;South Africa;Riftwalker is a rogue-like tower defense in a world consumed by darkness, featuring rich backstory and endless, detailed procedural levels. You play the role of a riftwalker in a scou...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/929910/header.jpg?t=1576918820;Deeplink Studios;Deeplink Studios;Windows;To be announced;Adventure, Indie, Strategy, Early Access;https://store.steampowered.com/app/929910/Riftwalker/;Unknown;Unknown;Unknown;Unknown;Unknown
Vermin Hunter;South Africa;Have fun hunting down the vermin who are destroying the farmers crops and livelihood.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1104030/header.jpg?t=1667509087;Inturn Games;Inturn Games;Windows;To be announced;Action, Adventure, Casual, Indie, Simulation;https://store.steampowered.com/app/1104030/Vermin_Hunter/;Unknown;Unknown;Unknown;Unknown;Unknown
Nine Noir Lives;South Africa;"Stretch your legs, clean your whiskers, and dive into Nine Noir Lives. Enjoy a ""point-and-lick"" comedy-noir adventure, full of humour, crazy characters, and intriguing locations. Solv...";https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/914890/header.jpg?t=1670340575;Silvernode Games;Silvernode Games;Windows, macOS, SteamOS + Linux;To be announced;Adventure, Indie;https://store.steampowered.com/app/914890/Nine_Noir_Lives/;Unknown;Unknown;Unknown;Unknown;Unknown
There's Poop In My Soup;South Africa;Created by solo developer Nikola Kostic - Have you ever wanted to poop on people but were too shy to just go for it? There's poop in my soup lets you do just that, poop in soups, poop...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/449540/header.jpg?t=1631224545;K Bros Games;K Bros Games;Windows, macOS;To be announced;Casual, Indie;https://store.steampowered.com/app/449540/Theres_Poop_In_My_Soup/;Unknown;Unknown;Unknown;Unknown;Unknown
Super Duper Party Pooper;South Africa;Created by solo developer Nikola Kostic - Have you ever wanted to poop on party goers but were too socially awkward to just go for it? Well, Super Duper Party Pooper is about to chang...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/485870/header.jpg?t=1631224663;K Bros Games;K Bros Games;Windows, macOS;To be announced;Casual, Indie, Simulation, Strategy;https://store.steampowered.com/app/485870/Super_Duper_Party_Pooper/;Unknown;Unknown;Unknown;Unknown;Unknown
Frisky Business: Episode 2;South Africa;Who killed Nurse McGee? Take on the case as Falco Frisk, P.I. in the second episode of Frisky Business! Lead your team and unravel a dark, sexy mystery as you meet quirky characters, ...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/794700/header.jpg?t=1520447983;K Bros Inc;K Bros Inc;Windows, macOS;To be announced;Indie, Simulation;https://store.steampowered.com/app/794700/Frisky_Business_Episode_2/;Unknown;Unknown;Unknown;Unknown;Unknown
Frisky Business;South Africa;You are Mr. Falco Frisk, private detective of Frisk Investigative Solutions! Develop your relationships with your team as you take on your very first case. Dive into a sexy and strang...;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/588240/header.jpg?t=1490632687;K Bros Games;K Bros Games;Windows, macOS;To be announced;Simulation;https://store.steampowered.com/app/588240/Frisky_Business/;Unknown;Unknown;Unknown;Unknown;Unknown
Vulture for NetHack;South Africa;Vulture for NetHack is an isometric graphical interface for the roguelike engine: NetHack.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/341390/header.jpg?t=1629410276;DarkArts Studios;DarkArts Studios;Windows, SteamOS + Linux;To be announced;Indie, RPG, Strategy;https://store.steampowered.com/app/341390/Vulture_for_NetHack/;Unknown;Unknown;Unknown;Unknown;Unknown
Comedy Night;South Africa;Tell jokes, sing songs, make friends or heckle. Comedy Night captures the fun experience of a real comedy club.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/665360/6c169894d509bf44f029b6761cdf1bdd6619bd6d/header.jpg?t=1743674873;Lighthouse Games Studio;Lighthouse Games Studio;Windows, macOS;To be announced;Casual, Indie, RPG, Simulation;https://store.steampowered.com/app/665360/Comedy_Night/;Unknown;Unknown;Unknown;Unknown;Unknown
Revenge Quest;South Africa;Make it past the blockades of robotic mafia minions and find out who's pulling the strings. Don't forget to ask a friend for help!;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/569130/header.jpg?t=1605179166;Fyn Games;Fyn Games;Windows, macOS, SteamOS + Linux;To be announced;Action, Casual, Indie;https://store.steampowered.com/app/569130/Revenge_Quest/;Unknown;Unknown;Unknown;Unknown;Unknown
Kith - Tales from the Fractured Plateaus;South Africa;Kith is free regular mini-adventure series, set on a planet covered in fractured plateaus above a dark and ominous mist.;https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/596710/header.jpg?t=1491583623;Screwy Lightbulb;Screwy Lightbulb;Windows, SteamOS + Linux;To be announced;Adventure, Casual, Free To Play, Indie;https://store.steampowered.com/app/596710/Kith__Tales_from_the_Fractured_Plateaus/;Unknown;Unknown;Unknown;Unknown;Unknown
